time_tag,xrsb_flux,xrsa_flux
2026-01-18 01:35:00,1.24851E-06,1.57834E-08
2026-01-18 01:36:00,1.25442E-06,1.35226E-08
2026-01-18 01:37:00,1.25849E-06,1.32232E-08
2026-01-18 01:38:00,1.28408E-06,1.97687E-08
2026-01-18 01:39:00,1.32384E-06,2.71732E-08
2026-01-18 01:40:00,1.35628E-06,3.24037E-08
2026-01-18 01:41:00,1.37178E-06,3.45538E-08
2026-01-18 01:42:00,1.38506E-06,3.70448E-08
2026-01-18 01:43:00,1.39429E-06,3.55043E-08
2026-01-18 01:44:00,1.40036E-06,3.37983E-08
2026-01-18 01:45:00,1.40162E-06,3.35886E-08
2026-01-18 01:46:00,1.40586E-06,3.2119E-08
2026-01-18 01:47:00,1.41288E-06,3.03511E-08
2026-01-18 01:48:00,1.4108E-06,2.81484E-08
2026-01-18 01:49:00,1.41238E-06,2.71924E-08
2026-01-18 01:50:00,1.42447E-06,2.65287E-08
2026-01-18 01:51:00,1.43415E-06,2.61403E-08
2026-01-18 01:52:00,1.4402E-06,2.67389E-08
2026-01-18 01:53:00,1.45248E-06,2.83901E-08
2026-01-18 01:54:00,1.46265E-06,2.73702E-08
2026-01-18 01:55:00,1.47912E-06,3.02627E-08
2026-01-18 01:56:00,1.48619E-06,3.26058E-08
2026-01-18 01:57:00,1.48465E-06,3.24902E-08
2026-01-18 01:58:00,1.47777E-06,3.11724E-08
2026-01-18 01:59:00,1.46966E-06,2.99362E-08
2026-01-18 02:00:00,1.45629E-06,3.07467E-08
2026-01-18 02:01:00,1.44033E-06,2.90281E-08
2026-01-18 02:02:00,1.4173E-06,2.71466E-08
2026-01-18 02:03:00,1.3952E-06,2.58057E-08
2026-01-18 02:04:00,1.37875E-06,2.41878E-08
2026-01-18 02:05:00,1.36451E-06,2.23108E-08
2026-01-18 02:06:00,1.34829E-06,2.32896E-08
2026-01-18 02:07:00,1.33035E-06,2.19412E-08
2026-01-18 02:08:00,1.31104E-06,2.32321E-08
2026-01-18 02:09:00,1.29777E-06,2.26987E-08
2026-01-18 02:10:00,1.28661E-06,2.14666E-08
2026-01-18 02:11:00,1.27488E-06,2.16714E-08
2026-01-18 02:12:00,1.26193E-06,2.23772E-08
2026-01-18 02:13:00,1.25464E-06,2.20611E-08
2026-01-18 02:14:00,1.24308E-06,2.12626E-08
2026-01-18 02:15:00,1.23064E-06,1.9239E-08
2026-01-18 02:16:00,1.22323E-06,2.13802E-08
2026-01-18 02:17:00,1.21674E-06,2.21912E-08
2026-01-18 02:18:00,1.20957E-06,2.11672E-08
2026-01-18 02:19:00,1.20419E-06,2.10965E-08
2026-01-18 02:20:00,1.19395E-06,2.4009E-08
2026-01-18 02:21:00,1.19164E-06,2.26248E-08
2026-01-18 02:22:00,1.18607E-06,2.13839E-08
2026-01-18 02:23:00,1.17995E-06,2.09284E-08
2026-01-18 02:24:00,1.17951E-06,2.42492E-08
2026-01-18 02:25:00,1.18166E-06,2.20884E-08
2026-01-18 02:26:00,1.18518E-06,2.33512E-08
2026-01-18 02:27:00,1.18267E-06,2.53332E-08
2026-01-18 02:28:00,1.18148E-06,2.35482E-08
2026-01-18 02:29:00,1.18399E-06,2.55527E-08
2026-01-18 02:30:00,1.18677E-06,2.59672E-08
2026-01-18 02:31:00,1.19004E-06,2.44969E-08
2026-01-18 02:32:00,1.19157E-06,2.33518E-08
2026-01-18 02:33:00,1.18746E-06,2.4466E-08
2026-01-18 02:34:00,1.17712E-06,2.15868E-08
2026-01-18 02:35:00,1.16727E-06,2.45998E-08
2026-01-18 02:36:00,1.16009E-06,2.34453E-08
2026-01-18 02:37:00,1.15902E-06,2.37933E-08
2026-01-18 02:38:00,1.15781E-06,2.30307E-08
2026-01-18 02:39:00,1.1585E-06,2.4033E-08
2026-01-18 02:40:00,1.16116E-06,2.45395E-08
2026-01-18 02:41:00,1.16562E-06,2.57595E-08
2026-01-18 02:42:00,1.17056E-06,2.50973E-08
2026-01-18 02:43:00,1.1869E-06,2.79784E-08
2026-01-18 02:44:00,1.26779E-06,3.32221E-08
2026-01-18 02:45:00,1.31986E-06,3.45896E-08
2026-01-18 02:46:00,1.31843E-06,3.74379E-08
2026-01-18 02:47:00,1.29511E-06,3.18512E-08
2026-01-18 02:48:00,1.26323E-06,2.85189E-08
2026-01-18 02:49:00,1.24076E-06,2.81603E-08
2026-01-18 02:50:00,1.2306E-06,2.78631E-08
2026-01-18 02:51:00,1.22412E-06,2.7015E-08
2026-01-18 02:52:00,1.21527E-06,2.75617E-08
2026-01-18 02:53:00,1.20399E-06,2.78493E-08
2026-01-18 02:54:00,1.21323E-06,2.91613E-08
2026-01-18 02:55:00,1.24956E-06,3.09374E-08
2026-01-18 02:56:00,1.24603E-06,2.95294E-08
2026-01-18 02:57:00,1.26155E-06,3.0685E-08
2026-01-18 02:58:00,1.24302E-06,2.87949E-08
2026-01-18 02:59:00,1.23176E-06,2.77839E-08
2026-01-18 03:00:00,1.22593E-06,3.0305E-08
2026-01-18 03:01:00,1.21656E-06,3.08578E-08
2026-01-18 03:02:00,1.21112E-06,3.0088E-08
2026-01-18 03:03:00,1.20822E-06,2.73873E-08
2026-01-18 03:04:00,1.20739E-06,2.92953E-08
2026-01-18 03:05:00,1.20209E-06,2.87326E-08
2026-01-18 03:06:00,1.19992E-06,2.84213E-08
2026-01-18 03:07:00,1.21241E-06,2.86142E-08
2026-01-18 03:08:00,1.25953E-06,3.39266E-08
2026-01-18 03:09:00,1.39889E-06,5.02046E-08
2026-01-18 03:10:00,1.55081E-06,6.32083E-08
2026-01-18 03:11:00,1.57514E-06,6.35319E-08
2026-01-18 03:12:00,1.51133E-06,5.23457E-08
2026-01-18 03:13:00,1.46613E-06,4.70137E-08
2026-01-18 03:14:00,1.42767E-06,4.55417E-08
2026-01-18 03:15:00,1.40322E-06,4.32756E-08
2026-01-18 03:16:00,1.37719E-06,3.95838E-08
2026-01-18 03:17:00,1.35899E-06,3.85045E-08
2026-01-18 03:18:00,1.33565E-06,3.63204E-08
2026-01-18 03:19:00,1.31483E-06,3.55784E-08
2026-01-18 03:20:00,1.29828E-06,3.51556E-08
2026-01-18 03:21:00,1.28601E-06,3.5549E-08
2026-01-18 03:22:00,1.26839E-06,3.35027E-08
2026-01-18 03:23:00,1.26082E-06,3.49384E-08
2026-01-18 03:24:00,1.25556E-06,3.12171E-08
2026-01-18 03:25:00,1.25287E-06,3.15272E-08
2026-01-18 03:26:00,1.25051E-06,3.33037E-08
2026-01-18 03:27:00,1.25489E-06,3.10676E-08
2026-01-18 03:28:00,1.25116E-06,3.10755E-08
2026-01-18 03:29:00,1.23839E-06,3.12288E-08
2026-01-18 03:30:00,1.22483E-06,3.0794E-08
2026-01-18 03:31:00,1.21418E-06,3.16571E-08
2026-01-18 03:32:00,1.20457E-06,3.17443E-08
2026-01-18 03:33:00,1.19304E-06,3.14476E-08
2026-01-18 03:34:00,1.18721E-06,3.21195E-08
2026-01-18 03:35:00,1.18244E-06,3.17738E-08
2026-01-18 03:36:00,1.17989E-06,3.26623E-08
2026-01-18 03:37:00,1.18409E-06,2.96334E-08
2026-01-18 03:38:00,1.1977E-06,3.1893E-08
2026-01-18 03:39:00,1.22897E-06,3.58658E-08
2026-01-18 03:40:00,1.26446E-06,3.99344E-08
2026-01-18 03:41:00,1.29611E-06,4.22789E-08
2026-01-18 03:42:00,1.31094E-06,4.28363E-08
2026-01-18 03:43:00,1.3284E-06,4.47946E-08
2026-01-18 03:44:00,1.38481E-06,4.75892E-08
2026-01-18 03:45:00,1.527E-06,6.49536E-08
2026-01-18 03:46:00,1.6558E-06,7.72412E-08
2026-01-18 03:47:00,1.70341E-06,7.96943E-08
2026-01-18 03:48:00,1.72792E-06,7.80544E-08
2026-01-18 03:49:00,1.73616E-06,7.57952E-08
2026-01-18 03:50:00,1.73167E-06,7.20189E-08
2026-01-18 03:51:00,1.7082E-06,6.59728E-08
2026-01-18 03:52:00,1.67909E-06,6.29328E-08
2026-01-18 03:53:00,1.65087E-06,5.78584E-08
2026-01-18 03:54:00,1.65173E-06,6.15608E-08
2026-01-18 03:55:00,1.70478E-06,6.58756E-08
2026-01-18 03:56:00,1.7507E-06,6.91062E-08
2026-01-18 03:57:00,1.79926E-06,7.52442E-08
2026-01-18 03:58:00,1.87126E-06,8.27645E-08
2026-01-18 03:59:00,1.93702E-06,9.07761E-08
2026-01-18 04:00:00,2.01309E-06,1.0315E-07
2026-01-18 04:01:00,2.10226E-06,1.1841E-07
2026-01-18 04:02:00,2.20476E-06,1.34669E-07
2026-01-18 04:03:00,2.32137E-06,1.54472E-07
2026-01-18 04:04:00,2.42806E-06,1.76136E-07
2026-01-18 04:05:00,2.52915E-06,1.93708E-07
2026-01-18 04:06:00,2.631E-06,2.04269E-07
2026-01-18 04:07:00,2.68327E-06,2.07766E-07
2026-01-18 04:08:00,2.706E-06,2.06588E-07
2026-01-18 04:09:00,2.70586E-06,2.00062E-07
2026-01-18 04:10:00,2.68754E-06,1.92607E-07
2026-01-18 04:11:00,2.65747E-06,1.8416E-07
2026-01-18 04:12:00,2.61885E-06,1.77982E-07
2026-01-18 04:13:00,2.57817E-06,1.69366E-07
2026-01-18 04:14:00,2.53247E-06,1.61115E-07
2026-01-18 04:15:00,2.47901E-06,1.51218E-07
2026-01-18 04:16:00,2.42864E-06,1.44966E-07
2026-01-18 04:17:00,2.38423E-06,1.39067E-07
2026-01-18 04:18:00,2.34614E-06,1.32471E-07
2026-01-18 04:19:00,2.31179E-06,1.30316E-07
2026-01-18 04:20:00,2.27441E-06,1.22524E-07
2026-01-18 04:21:00,2.214E-06,1.16286E-07
2026-01-18 04:22:00,2.16056E-06,1.1057E-07
2026-01-18 04:23:00,2.11196E-06,1.07314E-07
2026-01-18 04:24:00,2.07467E-06,1.01384E-07
2026-01-18 04:25:00,2.04063E-06,9.66868E-08
2026-01-18 04:26:00,2.0185E-06,9.59681E-08
2026-01-18 04:27:00,2.00314E-06,9.50404E-08
2026-01-18 04:28:00,1.99317E-06,9.39267E-08
2026-01-18 04:29:00,1.97261E-06,8.94397E-08
2026-01-18 04:30:00,1.95133E-06,8.81735E-08
2026-01-18 04:31:00,1.92772E-06,8.52161E-08
2026-01-18 04:32:00,1.9082E-06,8.4685E-08
2026-01-18 04:33:00,1.89458E-06,8.41012E-08
2026-01-18 04:34:00,1.87457E-06,8.14325E-08
2026-01-18 04:35:00,1.85041E-06,8.16605E-08
2026-01-18 04:36:00,1.82719E-06,8.03324E-08
2026-01-18 04:37:00,1.80807E-06,7.7798E-08
2026-01-18 04:38:00,1.79243E-06,7.65177E-08
2026-01-18 04:39:00,1.78439E-06,7.50737E-08
2026-01-18 04:40:00,1.77014E-06,7.46665E-08
2026-01-18 04:41:00,1.74894E-06,7.15073E-08
2026-01-18 04:42:00,1.72904E-06,6.49557E-08
2026-01-18 04:43:00,1.70668E-06,6.43041E-08
2026-01-18 04:44:00,1.68317E-06,6.21159E-08
2026-01-18 04:45:00,1.65555E-06,6.25168E-08
2026-01-18 04:46:00,1.63005E-06,5.96077E-08
2026-01-18 04:47:00,1.60257E-06,5.65708E-08
2026-01-18 04:48:00,1.57424E-06,5.55394E-08
2026-01-18 04:49:00,1.55165E-06,5.58356E-08
2026-01-18 04:50:00,1.53329E-06,5.13092E-08
2026-01-18 04:51:00,1.51522E-06,5.13464E-08
2026-01-18 04:52:00,1.49781E-06,5.11433E-08
2026-01-18 04:53:00,1.4758E-06,4.93151E-08
2026-01-18 04:54:00,1.45585E-06,4.81709E-08
2026-01-18 04:55:00,1.43848E-06,4.87102E-08
