time,Kp
2026-01-18 00:00:00,2.667
2026-01-18 03:00:00,3.667
2026-01-18 06:00:00,2.667
2026-01-18 09:00:00,2.333
2026-01-18 12:00:00,2.333
2026-01-18 15:00:00,2.667
2026-01-18 18:00:00,3.667
2026-01-18 21:00:00,3
2026-01-19 00:00:00,3.333
2026-01-19 03:00:00,0.667
2026-01-19 06:00:00,0.333
2026-01-19 09:00:00,1
2026-01-19 12:00:00,1.333
2026-01-19 15:00:00,3
2026-01-19 18:00:00,8.333
2026-01-19 21:00:00,8.667
