time_tag,xrsb_flux,xrsa_flux
2020-01-27 00:00:00,1.44395E-08,5.84605E-09
2020-01-27 00:01:00,1.60665E-08,6.16024E-09
2020-01-27 00:02:00,1.59482E-08,7.00858E-09
2020-01-27 00:03:00,1.67156E-08,5.80381E-09
2020-01-27 00:04:00,1.55071E-08,8.33574E-09
2020-01-27 00:05:00,1.56571E-08,6.37275E-09
2020-01-27 00:06:00,1.52535E-08,5.99452E-09
2020-01-27 00:07:00,1.4616E-08,6.0569E-09
2020-01-27 00:08:00,1.50396E-08,6.27472E-09
2020-01-27 00:09:00,1.47209E-08,5.49722E-09
2020-01-27 00:10:00,1.44137E-08,4.66188E-09
2020-01-27 00:11:00,1.54205E-08,6.46455E-09
2020-01-27 00:12:00,1.63838E-08,4.81148E-09
2020-01-27 00:13:00,1.51924E-08,6.26796E-09
2020-01-27 00:14:00,1.27502E-08,5.25947E-09
2020-01-27 00:15:00,1.43473E-08,6.77697E-09
2020-01-27 00:16:00,1.49541E-08,5.2627E-09
2020-01-27 00:17:00,1.36955E-08,5.40572E-09
2020-01-27 00:18:00,1.45512E-08,4.62756E-09
2020-01-27 00:19:00,1.48409E-08,5.50481E-09
2020-01-27 00:20:00,1.35207E-08,5.997E-09
2020-01-27 00:21:00,1.3743E-08,7.32609E-09
2020-01-27 00:22:00,1.49935E-08,6.3301E-09
2020-01-27 00:23:00,1.41624E-08,7.62844E-09
2020-01-27 00:24:00,1.24769E-08,6.94562E-09
2020-01-27 00:25:00,1.24127E-08,5.65447E-09
2020-01-27 00:26:00,1.45286E-08,7.32002E-09
2020-01-27 00:27:00,1.24421E-08,8.04634E-09
2020-01-27 00:28:00,1.29497E-08,6.1879E-09
2020-01-27 00:29:00,1.2229E-08,6.21536E-09
2020-01-27 00:30:00,1.36484E-08,5.34834E-09
2020-01-27 00:31:00,1.20355E-08,7.27595E-09
2020-01-27 00:32:00,1.39485E-08,5.87499E-09
2020-01-27 00:33:00,1.58455E-08,6.90269E-09
2020-01-27 00:34:00,1.34133E-08,5.5516E-09
2020-01-27 00:35:00,1.36367E-08,6.25893E-09
2020-01-27 00:36:00,1.45207E-08,7.45707E-09
2020-01-27 00:37:00,1.44574E-08,6.19326E-09
2020-01-27 00:38:00,1.32296E-08,6.09853E-09
2020-01-27 00:39:00,1.45988E-08,6.57154E-09
2020-01-27 00:40:00,1.5846E-08,4.73086E-09
2020-01-27 00:41:00,1.48106E-08,5.36173E-09
2020-01-27 00:42:00,1.44103E-08,4.36319E-09
2020-01-27 00:43:00,1.50109E-08,6.34959E-09
2020-01-27 00:44:00,1.42907E-08,6.47607E-09
2020-01-27 00:45:00,1.75618E-08,8.82579E-09
2020-01-27 00:46:00,1.88786E-08,7.58018E-09
2020-01-27 00:47:00,1.92861E-08,5.75601E-09
2020-01-27 00:48:00,1.77717E-08,6.03503E-09
2020-01-27 00:49:00,1.63465E-08,5.9718E-09
2020-01-27 00:50:00,1.70998E-08,5.13531E-09
2020-01-27 00:51:00,1.67462E-08,5.77264E-09
2020-01-27 00:52:00,1.83334E-08,5.8541E-09
2020-01-27 00:53:00,1.90143E-08,6.65871E-09
2020-01-27 00:54:00,1.75729E-08,5.79596E-09
2020-01-27 00:55:00,1.79952E-08,6.03459E-09
2020-01-27 00:56:00,1.78451E-08,5.3035E-09
2020-01-27 00:57:00,1.73718E-08,5.92281E-09
2020-01-27 00:58:00,1.85578E-08,5.6165E-09
2020-01-27 00:59:00,1.82345E-08,6.21323E-09
2020-01-27 01:00:00,1.85796E-08,6.37285E-09
2020-01-27 01:01:00,1.68236E-08,5.83776E-09
2020-01-27 01:02:00,1.8996E-08,6.69675E-09
2020-01-27 01:03:00,1.88237E-08,5.38191E-09
2020-01-27 01:04:00,1.84654E-08,3.93102E-09
2020-01-27 01:05:00,1.88112E-08,5.41946E-09
2020-01-27 01:06:00,2.17115E-08,5.68257E-09
2020-01-27 01:07:00,2.01501E-08,5.87489E-09
2020-01-27 01:08:00,1.96322E-08,5.72683E-09
2020-01-27 01:09:00,1.96337E-08,5.62017E-09
2020-01-27 01:10:00,2.15478E-08,6.23402E-09
2020-01-27 01:11:00,2.15521E-08,6.41681E-09
2020-01-27 01:12:00,2.12332E-08,4.79762E-09
2020-01-27 01:13:00,2.21871E-08,5.60947E-09
2020-01-27 01:14:00,2.08758E-08,6.68012E-09
2020-01-27 01:15:00,2.13609E-08,7.34212E-09
2020-01-27 01:16:00,2.14395E-08,6.02111E-09
2020-01-27 01:17:00,1.99088E-08,6.53714E-09
2020-01-27 01:18:00,2.02149E-08,6.68741E-09
2020-01-27 01:19:00,2.09503E-08,6.15492E-09
2020-01-27 01:20:00,2.09822E-08,6.92172E-09
2020-01-27 01:21:00,2.04455E-08,7.03146E-09
2020-01-27 01:22:00,1.90983E-08,5.55591E-09
2020-01-27 01:23:00,1.91778E-08,5.57244E-09
2020-01-27 01:24:00,1.90738E-08,5.87972E-09
2020-01-27 01:25:00,1.92351E-08,6.28273E-09
2020-01-27 01:26:00,1.92924E-08,7.96965E-09
2020-01-27 01:27:00,1.98369E-08,7.65967E-09
2020-01-27 01:28:00,1.91071E-08,7.17169E-09
2020-01-27 01:29:00,1.9265E-08,5.59094E-09
2020-01-27 01:30:00,1.82721E-08,6.95938E-09
2020-01-27 01:31:00,1.99439E-08,5.90353E-09
2020-01-27 01:32:00,1.83304E-08,6.04433E-09
2020-01-27 01:33:00,1.97505E-08,6.32319E-09
2020-01-27 01:34:00,1.96184E-08,5.7717E-09
2020-01-27 01:35:00,2.10844E-08,6.7519E-09
2020-01-27 01:36:00,2.0413E-08,7.6531E-09
2020-01-27 01:37:00,2.06529E-08,8.14419E-09
2020-01-27 01:38:00,2.1769E-08,7.39369E-09
2020-01-27 01:39:00,2.31376E-08,7.17162E-09
2020-01-27 01:40:00,2.13679E-08,6.20582E-09
