time,Kp
2020-01-27 00:00:00,0.333
2020-01-27 03:00:00,1
2020-01-27 06:00:00,1
2020-01-27 09:00:00,0
2020-01-27 12:00:00,0.333
2020-01-27 15:00:00,0
2020-01-27 18:00:00,0
2020-01-27 21:00:00,0
2020-01-28 00:00:00,1
2020-01-28 03:00:00,1.333
2020-01-28 06:00:00,1
2020-01-28 09:00:00,0.333
2020-01-28 12:00:00,0
2020-01-28 15:00:00,0.333
2020-01-28 18:00:00,0.667
2020-01-28 21:00:00,3
